ID Produto;Nome;Referência;Qtd Inicial;Qtd Atual;Variação Qtd;Valor Inicial;Valor Atual;Variação Valor;Total Movimentações;Data Cálculo
10;AGITADOR DO REVELADOR;AD038032;1.000;1.000;0.000;21.94;21.94;0.00;0;01/03/2025
69;APOIO DA GRADE-5450;C2292771;9.000;9.000;0.000;224.55;224.55;0.00;0;01/03/2025
109;BANDEJA DE ALIM.MANUAL;A1342698;1.000;1.000;0.000;40.87;40.87;0.00;0;01/03/2025
115;BANDEJA ENTRADA T270 3222/27-410385;28061;1.000;1.000;0.000;10.00;10.00;0.00;0;01/03/2025
129;BATENTE BORRACHA ALIM.DE PAPEL 5305/15/25/75;C2005287;2.000;2.000;0.000;4.08;4.08;0.00;0;01/03/2025
173;BLOCO CORONA FRONTAL P/2613/2713;AD022233;1.000;1.000;0.000;8.87;8.87;0.00;0;01/03/2025
178;BLOCO CORONA TRASEIRO P/2613/2713;AD022234;1.000;1.000;0.000;4.84;4.84;0.00;0;01/03/2025
181;BLOCO TRASEIRO CORONA CARGA 2613/2713;AD022197;2.000;2.000;0.000;14.34;14.34;0.00;0;01/03/2025
221;BRACO DE DESLOCAMENTO;C2002308;2.000;2.000;0.000;99.38;99.38;0.00;0;01/03/2025
222;BRACO DE DESLOCAMENTO 5327(C2002302);C2242302;10.000;10.000;0.000;307.60;307.60;0.00;0;01/03/2025
223;BRACO DE ENGATE-2713;A1521119;1.000;1.000;0.000;33.81;33.81;0.00;0;01/03/2025
225;BRACO DIREITO P/5305/15/25/75;C2035066;1.000;1.000;0.000;12.89;12.89;0.00;0;01/03/2025
226;BRACO ESQUERDO P/5305/15/25/75;C2035062;1.000;1.000;0.000;11.87;11.87;0.00;0;01/03/2025
245;BUCHA;A1903568;3.000;3.000;0.000;17.10;17.10;0.00;0;01/03/2025
264;BUCHA 6MM P/2713/3018;52053103;21.000;21.000;0.000;219.95;219.95;0.00;0;01/03/2025
268;BUCHA 8MM(50530223);AA082021;1.000;1.000;0.000;2.37;2.37;0.00;0;01/03/2025
269;BUCHA DO ROLO FUSOR 2713/2613(AE031009);AE031017;13.000;13.000;0.000;107.12;107.12;0.00;0;01/03/2025
273;BUCHA DE PRESSAO 2818Z/3220;G0204175;4.000;4.000;0.000;18.83;18.83;0.00;0;01/03/2025
280;BUCHA DO ROLO;A1903569;2.000;2.000;0.000;8.64;8.64;0.00;0;01/03/2025
298;BUCHA P/ROLO DE PRESSAO P/3018;AE031002;10.000;10.000;0.000;35.64;35.64;0.00;0;01/03/2025
336;CALÇO LATERAL;C2005285;2.000;2.000;0.000;82.66;82.66;0.00;0;01/03/2025
338;CALCO PROTECAO LATERAL(C2175014);C2175019;2.000;2.000;0.000;20.00;20.00;0.00;0;01/03/2025
344;CAME DA LAMINA DE LIMPEZA 3235;AB011380;1.000;1.000;0.000;2.47;2.47;0.00;0;01/03/2025
346;CAME DE ALIMENTAÇAO DO PAPEL;C2135110;1.000;1.000;0.000;60.68;60.68;0.00;0;01/03/2025
375;CHAPA DE AJUSTE 5327;C2004723;3.000;3.000;0.000;14.34;14.34;0.00;0;01/03/2025
388;CHAPA FRONTAL 5303;C2174592;1.000;1.000;0.000;9.85;9.85;0.00;0;01/03/2025
390;CHAPA FRONTAL (C2074765V);C2154550;1.000;1.000;0.000;7.06;7.06;0.00;0;01/03/2025
394;CHAPA FRONTAL GUIA P/5305/15/25;55076055;5.000;5.000;0.000;200.89;200.89;0.00;0;01/03/2025
405;CHAPA GUIA(A1533898);A1533901;1.000;1.000;0.000;22.00;22.00;0.00;0;01/03/2025
416;CHAPA TRASEIRA 5304(C2154551V);C2184594;5.000;5.000;0.000;39.08;39.08;0.00;0;01/03/2025
449;CLAMPER DO CILINDRO 5306/5308(C2312415);C2312416;1.000;1.000;0.000;140.11;140.11;0.00;0;01/03/2025
457;COBERTURA;AD036021;2.000;2.000;0.000;23.74;23.74;0.00;0;01/03/2025
458;COBERTURA 5303;C2174250;1.000;1.000;0.000;51.21;51.21;0.00;0;01/03/2025
462;COBERTURA DA UNIDADE DE SAIDA P/2613Z;A1524450;1.000;1.000;0.000;67.32;67.32;0.00;0;01/03/2025
491;CONJ.MOTOR ESPELHO POLIGONO - 1502/3215;G0291961;1.000;1.000;0.000;202.96;202.96;0.00;0;01/03/2025
524;CONJUNTO DO ROLO DE PRESSAO;C2035509;2.000;2.000;0.000;528.80;528.80;0.00;0;01/03/2025
582;CORREIA 53M609;AA043368;2.000;2.000;0.000;20.58;20.58;0.00;0;01/03/2025
592;CORREIA DE TRANSFERENCIA 3235;A2323880;2.000;2.000;0.000;710.35;710.35;0.00;0;01/03/2025
598;CORREIA DE TRANSPORTE 5305/15/25/75;C2006097;1.000;1.000;0.000;41.94;41.94;0.00;0;01/03/2025
599;CORREIA DE TRANSPORTE C1 5327;C2076011;4.000;4.000;0.000;212.18;212.18;0.00;0;01/03/2025
600;CORREIA DE TRANSPORTE P/5375;C2096016;1.000;1.000;0.000;119.73;119.73;0.00;0;01/03/2025
617;CORREIA INF. MASTER-5305(C2193546V);C2193606N;16.000;16.000;0.000;138.21;138.21;0.00;0;01/03/2025
621;CORREIA INVERSORA P/2613Z/2713;AA043384;2.000;2.000;0.000;23.70;23.70;0.00;0;01/03/2025
622;CORREIA MOR UNID.REVELAÇAO;G0201187;3.000;3.000;0.000;17.01;17.01;0.00;0;01/03/2025
625;CORREIA SUP. MASTER-5305(C2193545V)*;C2193605N;16.000;16.000;0.000;159.26;159.26;0.00;0;01/03/2025
635;CSC80 GRAMPO PARA 2760 ST28;753;4.000;4.000;0.000;11.24;11.24;0.00;0;01/03/2025
648;DETECTOR DE ENTINTAMENTO P/5305/85/5327;C2034543;1.000;1.000;0.000;3.04;3.04;0.00;0;01/03/2025
663;DOBRADICA DA TAMPA;A1531370;1.000;1.000;0.000;138.26;138.26;0.00;0;01/03/2025
669;DOBRADICA DA TAMPA ORIGINAIS P/2713Z/2913;A2031346;4.000;4.000;0.000;34.74;34.74;0.00;0;01/03/2025
672;DOBRADICA TAMPA(A0776358);A0546358;2.000;2.000;0.000;83.92;83.92;0.00;0;01/03/2025
708;EIXO 5305;C2036064;1.000;1.000;0.000;4.99;4.99;0.00;0;01/03/2025
743;EMBREAGEM;AX200107;2.000;2.000;0.000;99.64;99.64;0.00;0;01/03/2025
745;EMBREAGEM ALIMENT.PAPEL 2613/2713;AX210029;1.000;1.000;0.000;71.78;71.78;0.00;0;01/03/2025
753;EMBREAGEM DE INTRODUCAO DE PAPEL;A0485262;3.000;3.000;0.000;30.00;30.00;0.00;0;01/03/2025
755;EMBREAGEM DE REGISTRO P/2818Z;G0201115;2.000;2.000;0.000;67.42;67.42;0.00;0;01/03/2025
762;EMBREAGEM MAGNET. ROLO REVERSAO;C2198239;2.000;2.000;0.000;211.40;211.40;0.00;0;01/03/2025
763;EMBREAGEM MAGNET.ALIM.PAPEL 5308;C2375879;2.000;2.000;0.000;245.32;245.32;0.00;0;01/03/2025
766;EMBREAGEM MAGNETICA;AG070009;2.000;2.000;0.000;9.79;9.79;0.00;0;01/03/2025
768;EMBREAGEM MAGNETICA P/5303;C2175079;1.000;1.000;0.000;123.13;123.13;0.00;0;01/03/2025
775;ENGRENAGEM 13Z DA UNID CILINDRO-1502.;AB011403;22.000;22.000;0.000;194.48;194.48;0.00;0;01/03/2025
781;ENGRENAGEM 2727;AB013909;2.000;2.000;0.000;16.70;16.70;0.00;0;01/03/2025
799;ENGRENAGEM 16Z;AB011356;1.000;1.000;0.000;2.74;2.74;0.00;0;01/03/2025
801;ENGRENAGEM 5385;C2235096;1.000;1.000;0.000;19.68;19.68;0.00;0;01/03/2025
805;ENGRENAGEM;C2003606;1.000;1.000;0.000;3.84;3.84;0.00;0;01/03/2025
809;ENGRENAGEM;AB011153;2.000;2.000;0.000;2.80;2.80;0.00;0;01/03/2025
822;ENGRENAGEM 5327;C2242326;1.000;1.000;0.000;68.17;68.17;0.00;0;01/03/2025
830;ENGRENAGEM;AB011379;3.000;3.000;0.000;4.41;4.41;0.00;0;01/03/2025
831;ENGRENAGEM;AB017377;1.000;1.000;0.000;2.76;2.76;0.00;0;01/03/2025
837;ENGRENAGEM 27Z;AB011346;2.000;2.000;0.000;2.30;2.30;0.00;0;01/03/2025
840;ENGRENAGEM;AB011378;2.000;2.000;0.000;2.26;2.26;0.00;0;01/03/2025
844;ENGRENAGEM 120 DENTES 2622S;AB010092;2.000;2.000;0.000;7.12;7.12;0.00;0;01/03/2025
848;ENGRENAGEM DE 2a.ALIM.P/5327;C2095200;6.000;6.000;0.000;610.23;610.23;0.00;0;01/03/2025
852;ENGRENAGEM 15D;AB013644;1.000;1.000;0.000;3.58;3.58;0.00;0;01/03/2025
857;ENGRENAGEM 16TH 5305/15/25;C2002332;2.000;2.000;0.000;13.62;13.62;0.00;0;01/03/2025
864;ENGRENAGEM 17/33/12Z;AB017222;2.000;2.000;0.000;5.41;5.41;0.00;0;01/03/2025
870;ENGRENAGEM 18TH 5305/5327(C2095229);C2035220;1.000;1.000;0.000;36.13;36.13;0.00;0;01/03/2025
883;ENGRENAGEM 20TH 5305/15/25;C2002331;1.000;1.000;0.000;6.80;6.80;0.00;0;01/03/2025
891;ENGRENAGEM 21/40 DENTES P/2613/2713;AB017327;3.000;3.000;0.000;29.38;29.38;0.00;0;01/03/2025
898;ENGRENAGEM 22TH 5327/5329(C2012226);C2192226;3.000;3.000;0.000;125.79;125.79;0.00;0;01/03/2025
899;ENGRENAGEM 22Z;AB013343;1.000;1.000;0.000;4.93;4.93;0.00;0;01/03/2025
901;ENGRENAGEM 23Z;AB013439;1.000;1.000;0.000;2.67;2.67;0.00;0;01/03/2025
904;ENGRENAGEM 24/33 DENTES 2713/2613;AB017358;4.000;4.000;0.000;12.30;12.30;0.00;0;01/03/2025
907;ENGRENAGEM 24TH 5327;C2074670;1.000;1.000;0.000;27.41;27.41;0.00;0;01/03/2025
911;ENGRENAGEM 24TH;AB013418;1.000;1.000;0.000;3.42;3.42;0.00;0;01/03/2025
912;ENGRENAGEM 24Z P/2622S;A1731133;1.000;1.000;0.000;4.44;4.44;0.00;0;01/03/2025
913;ENGRENAGEM 25 DENTES;AB017224;1.000;1.000;0.000;3.70;3.70;0.00;0;01/03/2025
922;ENGRENAGEM 27/33D;AB013906;2.000;2.000;0.000;8.96;8.96;0.00;0;01/03/2025
924;ENGRENAGEM 27Z;AB013642;2.000;2.000;0.000;9.39;9.39;0.00;0;01/03/2025
943;ENGRENAGEM 35Z;AB017229;5.000;5.000;0.000;27.35;27.35;0.00;0;01/03/2025
947;ENGRENAGEM 36TH;C2074672;1.000;1.000;0.000;4.34;4.34;0.00;0;01/03/2025
948;ENGRENAGEM 35TH FT4418/2622S;AB013428;10.000;10.000;0.000;41.00;41.00;0.00;0;01/03/2025
951;ENGRENAGEM 40T;AB013201;8.000;8.000;0.000;212.80;212.80;0.00;0;01/03/2025
955;ENGRENAGEM 40Z P/2635;AB013882;8.000;8.000;0.000;58.48;58.48;0.00;0;01/03/2025
963;ENGRENAGEM 42Z/21Z;AB017354;2.000;2.000;0.000;4.18;4.18;0.00;0;01/03/2025
980;ENGRENAGEM 90T;C2032326;2.000;2.000;0.000;214.70;214.70;0.00;0;01/03/2025
1002;ENGRENAGEM DO CILINDRO 5327(C2032330);C2132330;1.000;1.000;0.000;181.46;181.46;0.00;0;01/03/2025
1026;ENGRENAGEM SETORIAL 9D;C2004944;3.000;3.000;0.000;7.20;7.20;0.00;0;01/03/2025
1037;ESCOVA;C2038453;1.000;1.000;0.000;24.42;24.42;0.00;0;01/03/2025
1049;ROLAMENTO 6806Z;AE030003;2.000;2.000;0.000;29.24;29.24;0.00;0;01/03/2025
1061;ESPONJA;72118231;10.000;10.000;0.000;5.70;5.70;0.00;0;01/03/2025
1063;ESPONJA DUPLA FACE;3334;15.000;15.000;0.000;5.10;5.10;0.00;0;01/03/2025
1064;ESTABILIZADOR SOL 1500 220/110V TRIPOLAR-MICROSOL;1000/1500;16.000;16.000;0.000;3413.13;3413.13;0.00;0;01/03/2025
1065;ESTABILIZADOR SOL 2000 220V/110V;2000;3.000;3.000;0.000;570.62;570.62;0.00;0;01/03/2025
1089;FIACAO DA GUILHOTINA - 5327;C2008417;1.000;1.000;0.000;93.24;93.24;0.00;0;01/03/2025
1103;FIAÇAO SENSOR FUSOR;A1535330;1.000;1.000;0.000;12.50;12.50;0.00;0;01/03/2025
1115;FILTRO DE OZONIO;A1901157;2.000;2.000;0.000;56.50;56.50;0.00;0;01/03/2025
1118;FILTRO DE OZONIO;AA010082;3.000;3.000;0.000;117.72;117.72;0.00;0;01/03/2025
1133;FIO CORONA DE SEPARACAO P/2513;A0779521;37.000;37.000;0.000;439.68;439.68;0.00;0;01/03/2025
1134;FIO CORONA DE TRANSFERENCIA P/2513;A0779522;4.000;4.000;0.000;22.63;22.63;0.00;0;01/03/2025
1148;FIO DE CORONA DE CARGA;A0779520;6.000;6.000;0.000;81.14;81.14;0.00;0;01/03/2025
1163;FITA GOMADA 3M;220;10.000;10.000;0.000;97.40;97.40;0.00;0;01/03/2025
1171;FIXADOR DE MASTER;C2194948;1.000;1.000;0.000;130.20;130.20;0.00;0;01/03/2025
1189;FLANGE TRASEIRO CILINDRO 5327;C2194560;1.000;1.000;0.000;151.74;151.74;0.00;0;01/03/2025
1194;FOLHA DA TAMPA DE PRESSAO P/2513/2613;A0779523;1.000;1.000;0.000;19.34;19.34;0.00;0;01/03/2025
1208;FOTO INTERRUPTOR 5308(AW020073);AW020075;1.000;1.000;0.000;9.01;9.01;0.00;0;01/03/2025
1210;FOTO INTERRUPTOR FT 4418/5304;AW020021;4.000;4.000;0.000;53.27;53.27;0.00;0;01/03/2025
1211;FOTO SENSOR;A4225270;2.000;2.000;0.000;92.00;92.00;0.00;0;01/03/2025
1216;FOTOINTERRUPTOR;AW020056;1.000;1.000;0.000;5.15;5.15;0.00;0;01/03/2025
1228;FUSIVEL TERMICO;A1285435;1.000;1.000;0.000;55.33;55.33;0.00;0;01/03/2025
1231;FUSIVEL TERMICO DA FUSAO;AW100023;2.000;2.000;0.000;40.96;40.96;0.00;0;01/03/2025
1238;GARRA DE SEPARACAO P/2713/2613;AE044015;17.000;17.000;0.000;107.00;107.00;0.00;0;01/03/2025
1250;GARRAS DO ROLO FUSOR 3222/27/2212;AE044025;6.000;6.000;0.000;24.29;24.29;0.00;0;01/03/2025
1258;GRID DA CORONA DE CARGA P/2513Z;A0772072;2.000;2.000;0.000;35.57;35.57;0.00;0;01/03/2025
1290;GUIA DE ACIONAMENTO P/5305;C2004516;4.000;4.000;0.000;31.68;31.68;0.00;0;01/03/2025
1293;GUIA DE INTRODUCAO;A1342741;1.000;1.000;0.000;35.70;35.70;0.00;0;01/03/2025
1298;GUIA DE SAIDA FUSAO;A0774120;1.000;1.000;0.000;52.07;52.07;0.00;0;01/03/2025
1299;GUIA DE SAIDA P/5325(C2136050);C2246050;4.000;4.000;0.000;84.64;84.64;0.00;0;01/03/2025
1300;GUIA DE SAIDA P/5375;C2096233;1.000;1.000;0.000;27.89;27.89;0.00;0;01/03/2025
1307;GUIA DO BYPASS;G0202735;5.000;5.000;0.000;10.30;10.30;0.00;0;01/03/2025
1322;GUIA DO CURSOR DO SOLENOIDE P/5327/29/75;C2004551;3.000;3.000;0.000;48.89;48.89;0.00;0;01/03/2025
1327;GUIA TRANSPORTE VERTICAL P/4022;A1572572;1.000;1.000;0.000;65.58;65.58;0.00;0;01/03/2025
1385;INTERRUPTOR OTICO;AW020047;2.000;2.000;0.000;42.94;42.94;0.00;0;01/03/2025
1404;JIGA DE AJUSTE DO CILINDRO;A0691883;3.000;3.000;0.000;10.71;10.71;0.00;0;01/03/2025
1432;LAMINA DE LIMPEZA 1502 MARCA RICOH.;B0392289;54.000;54.000;0.000;2133.49;2133.49;0.00;0;01/03/2025
1449;LAMINA DE LIMPEZA P/3235/35E/3502/4502;A2322353;3.000;3.000;0.000;329.52;329.52;0.00;0;01/03/2025
1469;LAMINA FRONTAL CILINDRO P/5305;C2074745;5.000;5.000;0.000;26.30;26.30;0.00;0;01/03/2025
1472;LAMINA LIMP.COR.TRANSF.2635/2727/32/40;A1533892;4.000;4.000;0.000;135.15;135.15;0.00;0;01/03/2025
1482;LAMINA TRASEIRA DO CILINDRO 5303;C2174599;5.000;5.000;0.000;101.50;101.50;0.00;0;01/03/2025
1487;LAMPADA DE DESCARGA;A2035611;1.000;1.000;0.000;43.73;43.73;0.00;0;01/03/2025
1492;LAMPADA DE EXPOSICAO 97V/280W P/2635/2727;AX520027;1.000;1.000;0.000;74.99;74.99;0.00;0;01/03/2025
1518;LAMPADA FLUORESCENTE;C2038101;1.000;1.000;0.000;98.08;98.08;0.00;0;01/03/2025
1519;LAMPADA FUSORA;AX440084;1.000;1.000;0.000;211.59;211.59;0.00;0;01/03/2025
1523;LAMPADA FUSORA 230W 2818/2913;A2454120;1.000;1.000;0.000;105.81;105.81;0.00;0;01/03/2025
1524;LAMPADA FUSORA 2818Z;A2194117;3.000;3.000;0.000;356.55;356.55;0.00;0;01/03/2025
